time,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-01-01,1133.0,216708.0,2528298252.12777614945,0.00027184078702222617,0.00370559501369166127957695839082,0.00005,0.0006815745080573,8.52112131,116.15558129919651462126,0.0,0.0,2315.42124793,315.2781809763959,0.0019010165924813942,13.631490161146,,-10.198972441095757,185474825.0,238607.0,8196.0,80104.13878947,1091938.77977573395966793262,9.29113918,126.65207231800811430028,0.408449,5.567768524829922554,76150.17675666,1038040.38522793960702873236,0.03959885325194375,0.031629236799558355,0.03288466228262837
2020-01-02,1438.0,215514.0,2406540033.7701700316975,0.0003289198292565264,0.00426774219631521206959384609392,0.00005,0.000648751126674515,9.57419839,124.225439850356551340617,0.0,0.0,1701.09305934,300.6931046792471,0.0018677629033118015,12.9750225334903,,-15.069611443568807,185474825.0,225226.0,8861.0,109032.73279586,1414702.164914310338003190158,12.18457674,158.095157762541780395622,0.72162106,9.363049514141155785718,107967.53452455,1400881.193341428173862536865,0.03973743742286308,0.03264398667522075,0.03334169662380886
2020-01-03,1281.0,214867.0,2521660193.212578657375,0.0003179313929940158,0.004322500036787386960645903077,0.00005,0.00067978503099075,9.70231232,131.9097336226627106208,0.0,0.0,1670.28630852,315.6515225064442,0.0018585270902649082,13.595700619815,,-10.277057650034282,185474825.0,237768.0,6940.0,111043.73187625,1509717.33429650279787789375,15.53358788,211.1900103680667718422,1.0,13.595700619815,107803.09990571,1465658.67220603981505764365,0.03989092696054719,0.03399661764579971,0.0338020658977201
2020-01-04,1480.0,215168.0,2554558182.1319206933475,0.0003672302176417744,0.00505788835332709333165618032112,0.00005,0.000688653617042615,11.15314894,153.613127178920148441562,0.0,0.0,2119.96342337,320.50877538813546,0.0018756318088836964,13.7730723408523,,-12.08346892267362,185474825.0,222934.0,7864.0,87489.63446988,1205001.064628382206577878724,10.39005039,143.102915646570652547397,0.68619301,9.450985966517185702423,81707.35623626,1125361.328221798290768564398,0.03989251760379785,0.03343320168852878,0.03388115440197938
2020-01-05,1578.0,216694.0,2595718685.00750927967,0.0003076777011314247,0.00430594695418634400850108926372,0.00005,0.00069974959809438,9.84384037,137.764466852254658282412,0.0,0.0,1963.36872613,327.06038328134287,0.0019052390561075366,13.9949919618876,,-10.692705641643066,185474825.0,243946.0,7802.0,94467.64763625,1322073.9693277488862281855,11.67688891,163.417966435304459106516,0.765301725,10.71039148979371453611,91103.08725114,1274986.973782848988329651864,0.03988585080805278,0.03362959502248377,0.03400076534428446
2020-01-06,1649.0,216477.0,2774391058.7357183393525,0.00037441011235585584,0.005600544807201312321132056170608,0.00005,0.000747915804405185,11.59660441,173.465674313477315957317,0.0,0.0,1010.72550578,350.08049825222315,0.0019261789450613679,14.9583160881037,,-4.163322515314861,185474825.0,255700.0,8002.0,183506.62364802,2744950.080787768452218059674,22.47597566,336.202748310805176755942,0.9689,14.49311245776367493,179852.75726358,2690294.392465618301403273246,0.04012727425955556,0.03599754535775103,0.03526115744034803
2020-01-07,1548.0,217097.0,2780060536.3427428341025,0.0003018784278467349,0.00452482057351933244772439265613,0.00005,0.000749444172906685,8.62919486,129.341996094066349232782,0.0,0.0,645.03092089,352.1770694113735,0.0018422718131439685,14.9888834581337,,-4.109513265299461,185474825.0,269798.0,7958.0,287544.0835349,4309964.75718047741965281613,35.75651621,535.950254340558500397277,0.8432775,12.63978817036634120175,284550.35597182,4265092.123632068694746992334,0.03988144478791021,0.03599924920420517,0.035065010300276006
2020-01-08,1976.0,217367.0,2701529757.5965578151725,0.00040990700810248775,0.005970492115230430822784133087075,0.00005,0.000728273974000665,57.77803242,841.564745609053189431186,0.0,0.0,369.55084598,359.53463000683496,0.001807198820233414,14.5654794800133,,-4.868682761793805,185474825.0,278071.0,22869.0,501892.57314687,7310305.975341809182450453371,20.79554589,302.897096936469917960337,0.315999,4.6026769502047227867,475573.33905149,6926953.711195885383834584817,0.039325410341537075,0.036175069606567814,0.03518835470601864
2020-01-09,1499.0,213053.0,2664018512.0470338993325,0.0004546995708049001,0.00653095682416249698874453623181,0.00005,0.000718161753770905,27.17421045,390.309572682233071139145,0.0,0.0,511.50787983,354.7034468494678,0.0018374037376520888,14.3632350754181,,-2.9097810147316854,185474825.0,239361.0,12440.0,362604.04250878,5208167.101850504641631420918,28.31911713,406.754136466489557622053,1.0,14.3632350754181,352289.81709804,5060021.457655195214281690524,0.039319682412596216,0.035728367579979076,0.034804025535690675
2020-01-10,1457.0,214738.0,2783260906.0332598784825,0.0003672920473126438,0.00551163531968395137671373984838,0.00005,0.000750306923334005,24.12778188,362.064835785135100536588,0.0,0.0,1066.71723622,372.17738172656317,0.0018458148281394163,15.0061384666801,,1.8683047775217843,185474825.0,267949.0,12208.0,173874.40523341,2609183.400744197492348302141,13.63629961,204.628200120795845624761,0.833735,12.5111428545175331735,166471.945582,2498101.0662211265274023182,0.03900894493437504,0.036641731617351736,0.035349038403939104
2020-01-11,1389.0,217401.0,2771270718.4020494839825,0.0003359660634181681,0.00501983443805689115579217909881,0.00005,0.000747074628161005,23.17191536,346.223001027005606250736,0.0,0.0,1791.35019582,372.9155670233929,0.0018602443153782097,14.9414925632201,,1.5822525009980037,185474825.0,262185.0,11699.0,103539.12117956,1547029.009106740488183901156,8.16216962,121.954996676971029593362,0.790302,11.8082914556979714702,95489.2223975,1426751.50631991645764218975,0.038995511326605156,0.036650943421666166,0.03491624945588106
2020-01-12,1276.0,216129.0,2835315644.3491944593725,0.00033389784585411813,0.005104227950961414594038284392009,0.00005,0.000764339754559465,21.76079041,332.652744019987194934613,0.0,0.0,654.01611417,423.4217782873674,0.001872337741087084,15.2867950911893,,3.235612561849747,185474825.0,236922.0,11330.0,283593.66226758,4335238.204244438152717032894,24.10844776,368.540900873761675320968,0.54972855,8.403587699626611664515,273148.71313209,4175568.407072307697966094637,0.038033698115525316,0.03686272359847314,0.03492610260672655
2020-01-13,1407.0,215032.0,2815139783.72152631606,0.00038656536342742364,0.005867295109151932639639121665952,0.00005,0.00075890077904684,23.8580411,362.11771954643055090248,0.0,0.0,2197.14194676,428.20701870969384,0.0018687705603420155,15.1780155809368,,5.6293592423585554,185474825.0,229529.0,12458.0,84416.40526388,1281273.514381845939701602784,6.17292417,93.692739232201363962456,0.514553,7.8098934512177732504,76902.28931193,1167224.145386183084496816024,0.037322399156669704,0.036430348846651354,0.034925234277336036
2020-01-14,1749.0,218606.0,3086395131.6791787381775,0.00031972155977650035,0.005320328867203752390638144538645,0.00005,0.000832025352141235,23.14624232,385.165208340887123481304,0.0,0.0,1077.36698245,477.8480679907847,0.0018845063062536498,16.6405070428247,,15.902175682399719,185474825.0,347747.0,13372.0,172155.66099746,2864757.489290374647737925262,12.22539806,203.436822518765424300082,0.529563,8.8121968311193766061,163478.02288337,2720357.191137775955163455239,0.0377452604434759,0.03996713827146566,0.03670131748288485
2020-01-15,1796.0,218647.0,3265202107.1700973846325,0.0002592504269159738,0.00456398888771446466279217584498,0.00005,0.000880227844175105,25.03140647,440.666819075177502198587,0.0,0.0,619.05432307,574.9086081235423,0.0019979186711307035,17.6045568835021,,31.11609136449973,185474825.0,325713.0,15419.0,299609.93419677,5274500.129429358527828108217,19.02710629,334.963775010745604138209,0.378948,6.6712116218893537908,293378.95184531,5164806.446182983283490260151,0.03800434523621901,0.03863332674741215,0.03749331640478276
2020-01-16,1964.0,216810.0,3155667496.8348217533125,0.00030788953286268344,0.0052384305604301114320849647206,0.00005,0.000850699683052625,44.2782095,753.34917575575458549875,0.0,0.0,1026.35055843,558.3738455999173,0.0019514398974215135,17.0139936610525,,37.875828818057876,185474825.0,257391.0,26077.0,180712.93816304,3074648.7843761349737429996,5.99759415,102.043028849665556842875,0.241289,4.1052895164816966725,156399.26277146,2660976.06538690469301056165,0.03768019826450944,0.03539608338903263,0.037718580548383895
2020-01-17,1997.0,214170.0,3359963271.9758781702375,0.02594745322012094,0.47005026057266041226225440701,0.00005,0.000905773404012075,4050.68286964,73380.01622814446100421806,0.0,0.0,842.7852328,594.6675018281352,0.002032581532301919,18.1154680802415,,34.14124236455872,185474825.0,279823.0,29177.0,220073.65314739,3986737.238893682867546294685,6.64432156,120.36499513504040845674,0.318222,5.764740483430610613,193861.37014123,3511889.462785334677827507045,0.037957814245295575,0.03357812736478399,0.038150576345895366
2020-01-18,1696.0,216481.0,3266378214.85504601808419,0.014999719093732758,0.2673540721101174568162008039858,0.00005,0.000891196929887255,2040.69678298,36373.254156451477852058398,0.0,0.0,77.62945366,538.3613998467013,0.001996368474576277,17.8239385977451,,33.91955817815031,183257936.9,242820.0,23944.0,2360675.33989208,42076532.307447477722365348808,97.68849887,1741.193805564771585898037,0.26741,4.766299420423017191,2339053.41689958,41691144.479663984736021137058,0.03795979922732742,0.03362083551910111,0.03795413391565142
2020-01-19,1742.0,216794.0,3176094627.69597677247083,0.0003233438665696486,0.00560396310731524807639289176402,0.00005,0.000866564003017535,44.24960814,766.902351235114025974698,0.0,0.0,666.95492312,528.2618924759754,0.0019950008243295667,17.3312800603507,,28.38919066214409,183257936.9,242771.0,22982.0,274768.09983323,4762082.889860109597005313761,11.0224019,191.03233426664167034633,0.4234215,7.33843660007378392005,253316.84040238,4390305.105016809086471914666,0.03789459777264717,0.03430489193062555,0.03803420303275089
2020-01-20,1712.0,215404.0,3172366727.48644639246932,0.0003380925953394762,0.00585269985250223282313877904136,0.00005,0.00086554688466714,42.81165107,741.109824221902615496796,0.0,0.0,920.38206869,534.4911561463343,0.002004448699590888,17.3109376933428,,30.134086364791056,183257936.9,214768.0,26173.0,199110.72057281,3446793.277912502334939689268,6.82275349,118.108260562427138466372,0.378752,6.5565522732289721856,178571.92707281,3091247.503337568241027889268,0.0378861156593395,0.0340805545015566,0.03673723846263562
2020-01-21,1967.0,215148.0,3313056816.26572109903037,0.0004094512908040961,0.00740232817674653496448854568053,0.00005,0.000903932695169865,49.14480063,888.471841741231588180299,0.0,0.0,468.26192087,560.0805888351318,0.002070659505340823,18.0786539033973,,31.26271555292871,183257936.9,204377.0,24002.0,391357.76097304,7075221.513040077112209708792,15.39667926,278.351235603155252449998,0.538548,9.7362229023668091204,369551.09554995,6680986.356068852149216845135,0.038042597263161705,0.034342991230325554,0.03560095694673568
2020-01-22,1974.0,209864.0,3250228872.34247502596788,0.000375961378711618,0.0066679814726986832534404535336,0.00005,0.00088679075169226,42.62424535,755.97573148483635871982,0.0,0.0,843.56255284,563.8283185026526,0.002050881030278376,17.7358150338452,,33.28411793019971,183257936.9,192602.0,22934.0,217242.85446562,3852979.084226788038259802024,8.53710604,151.412533649762661345008,0.324327,5.7522036824819121804,195789.98992299,3472495.046752566253791581148,0.038062388426611214,0.03378436756487623,0.03510949794246574
2020-01-23,2022.0,215218.0,3107871810.16641692409722,0.0004169068485820026,0.00707032428767522979389597350788,0.00005,0.00084795012503669,53.02388063,899.232124202780498606294,0.0,0.0,655.7638125,545.1411383790781,0.0020270407449854986,16.9590025007338,,27.328095386718733,183257936.9,209125.0,28687.0,279457.22744588,4739315.819102813248199786744,9.09656722,154.268706232073111026036,0.5016,8.50663565436807408,260953.22386522,4425506.376104813118722298436,0.038059113123174906,0.035189703143606456,0.034348498915666686
2020-01-24,1568.0,216211.0,3118436239.43725397414599,0.00034185447669302625,0.005817218106712141890820867311375,0.00005,0.000850832518413355,44.28758931,753.626422941673581184701,0.0,0.0,1079.26664568,561.6849465380496,0.0020201662789730095,17.0166503682671,,30.34512983697556,183257936.9,228068.0,25475.0,169798.57353407,2889402.958859760525028710097,5.8648875,99.80074003672011145125,0.378756,6.4451584268833737276,149408.00907016,2542423.852565792381041519736,0.03806066584191406,0.03480298238722022,0.03434813912816173
2020-01-25,1348.0,215429.0,3104352720.15973513343636,0.008671275683922728,0.1468896720764102867899033996832,0.00005,0.00084698997835322,1042.01852766,17651.585003727951516401304,0.0,0.0,1795.38869806,563.3167719945532,0.0020299888783172227,16.9397995670644,,29.107395961747294,183257936.9,210686.0,23899.0,102071.45511079,1729069.991095393780737064876,3.43593428,58.204038028805730927632,0.381136,6.4563674477926571584,82115.39336563,1391018.304984421978014956572,0.03802389250146103,0.034882589941577925,0.03434969353817589
2020-01-26,1502.0,214855.0,3187759384.10564616720954,0.0003006006585542051,0.00522892806927864354683005160766,0.00005,0.00086974660907733,36.78119598,639.806409628274434102668,0.0,0.0,918.98419911,595.2585407393191,0.0020288297377633957,17.3949321815466,,31.20783624969811,183257936.9,212754.0,25256.0,199413.58847944,3468785.847678701180321501904,7.4050668,128.81063478582230031288,0.336,5.8446972129996576,187022.36719124,3253241.393723925683201171784,0.03808447117650029,0.03503634570032933,0.034125650423029064
2020-01-27,5782.0,215699.0,3230233699.9279591779349,0.00035497139598020445,0.00625697628818895928596451932345,0.00005,0.00088133527927105,44.35935547,781.90929882872458860287,0.0,0.0,1017.70807833,609.5785025942619,0.001980092811185326,17.626705585421,,28.97580482038404,183257936.9,222647.0,26843.0,180069.25640341,3174027.76760859321699068561,6.17102851,108.77490270500923135271,0.61446,10.83090551401778766,165648.91820616,2919844.71176346684796839336,0.03801081816306099,0.034815322887572275,0.033963132228736904
2020-01-28,3113.0,217015.0,3290310792.67181471716748,0.007299371293157899,0.1310568074260376326465088817508,0.00005,0.00089772668194646,1051.60582346,18881.092132206411678639032,0.0,0.0,131.02555992,605.0858577739418,0.0019311373286241748,17.9545336389292,,27.5302922164511,183257936.9,259558.0,27337.0,1398642.65421956,25111976.584026311411860095152,50.5697889,907.95697591859846604588,0.50389,9.047109955320034588,1382426.3190658,24820819.84900797737105634136,0.03791700947671582,0.03463884222010036,0.03369530149358599
2020-01-29,3522.0,211990.0,3280276276.10230770546797,0.00032473619824925214,0.005812705660273519890911221117782,0.00005,0.000894988869675065,48.06615312,860.373441009947978719056,0.0,0.0,760.91253835,608.3818247637122,0.0019222377821399472,17.8997773935013,,29.456247160056748,183257936.9,259500.0,31308.0,240839.68611873,4310976.769045992102522209349,7.2245802,129.31837734149710065426,0.4394005,7.86517113659316797065,226187.15690602,4048699.757886708243362847826,0.03785352084674741,0.034355595565276224,0.03345994964337493
2020-01-30,3194.0,217489.0,3405387438.47188855362583,0.0003833078123682786,0.00712281078455748752509378937502,0.00005,0.000929124134015035,51.67640934,960.275981540679327488538,0.0,0.0,980.12410831,639.3419869419649,0.0019542157042665084,18.5824826803007,,36.01187815936273,183257936.9,234869.0,28304.0,186974.21616849,3474445.133613764533555064943,6.14628025,114.213146293899256471175,0.4263405,7.92246495716074058835,173964.31631711,3232688.894953049032571354977,0.03796962276040077,0.03451894518837476,0.03369496982031002
2020-01-31,1975.0,213740.0,3328662350.80346315212258,0.00032667794996997957,0.005933716221503137091903012544474,0.00005,0.00090819050108041,42.42925882,770.676996564124110434324,0.0,0.0,812.09007217,625.8431951921599,0.0019411410942367436,18.1638100216082,,33.24889507224033,183257936.9,227809.0,26863.0,225662.0825447,4098883.19642239871904238654,7.82273544,142.090680381461631934608,0.469156,8.5216604544976166792,210142.14220131,3816981.948478370028214346742,0.03799575644988093,0.034975918436227424,0.03371953814959121
